budget,id,overview,popularity,release_date,revenue,title,vote_average,vote_count,release_year,return
0.0,42621.0,"Frank Capua is a rising star on the race circuit who dreams of winning the big one - the Indianapolis 500. But to get there he runs the risk of losing his wife Elora to his rival, Luther Erding, and strains the relationship with his stepson.",1.966696,1969-05-22,0.0,Winning,5.3,8.0,1969,0.0
0.0,18510.0,"Wishing to find peace, Zatoichi travels to his old village but only finds trouble when he ends up in a love triangle and finds old scores have followed him home.",1.552542,1963-03-15,0.0,New Tale of Zatôichi,6.6,17.0,1963,0.0
0.0,45512.0,"Broke and in debt, an otherwise honest cowboy gets mixed up in some shady dealings with a crooked rancher.",0.567506,1972-01-01,0.0,Pocket Money,5.3,6.0,1972,0.0
0.0,31672.0,A hitman is double-crossed by his girlfriend and barely escapes a murder attempt. He then sets out to take his revenge on the woman and the gang boss who put her up to it.,0.999659,1970-09-17,0.0,Violent City,6.9,7.0,1970,0.0
0.0,119001.0,"With tough and savvy boss Victor Mature in charge, the Whirling Circus just keeps chugging along, but an unknown saboteur--who'll stop at nothing, including murder--is determined that the show must not go on. Director Joseph M. Newman's perils-under-the Big-Top drama, released in 1959, also stars Gilbert Roland, Rhonda Fleming, Red Buttons, Vincent Price, Peter Lorre, David Nelson, Kathryn Grant, Adele Mara, Howard McNear and Steve Allen.",0.617565,1959-07-05,0.0,The Big Circus,7.0,1.0,1959,0.0
350000.0,255.0,"Baisers voles is the second of two films from the ‘Antonie-Doinel-Zyklus’ by French director Truffaut. The film depicts the life of a young twenty year old man who’s life revolves around casual jobs and women, especially young violinist Christine Darbon (Claude Jade's screen-debut).",6.564465,1968-08-13,0.0,Stolen Kisses,7.4,59.0,1968,0.0
0.0,253451.0,"A month after Genji Takiya graduates, a new battle for supremacy at Suzuran All-Boys High School begins. Transfer student Kaburagi Kazeo combats Kagami Ryohei for the coveted top spot, amidst a brewing inter-school conflict with Kurosaki Industrial High.",2.121365,2014-04-12,0.0,Crows Explode,6.0,12.0,2014,0.0
0.0,194548.0,"Manos (Christos Loulis) seems to have problems with his love life. He leaves the capital and coercive girlfriend to be close to his only relatives in the province. There, apart from his uncle (Paul Chaikalis) - that is looking frantically for donuts with honey - and beloved aunt (Bright Baxevani), he will meet Xenia (Fay Xila), an old friend who now works in the funeral home. With the help of the clever and cute pink piggy Marikaki he will try to reveal a old secret on the whole village and break out the lies that prevent redemptive truth.",0.078545,2005-01-07,0.0,Honey and the Pig,6.5,2.0,2005,0.0
0.0,21512.0,"Set in a futuristic world where the only sport that has survived in a wasted society is the brutal game known as jugging. Sallow, the leader of a rag-tag team, has played in the main Leagues before, but was cast out because of indiscretions with a lady. However now joined by a talented newcomer, Kidda, an ambitious young peasant girl he and his team find they have one last chance for glory",10.3371,1989-10-19,882290.0,The Blood of Heroes,5.9,32.0,1989,0.0
2902660.0,66942.0,"Griff, office worker by day, superhero by night, has his world turned upside down when he meets Melody, a beautiful young scientist who shares his passion for the impossible.",2.930897,2011-08-19,0.0,Griff the Invisible,6.1,35.0,2011,0.0
55000000.0,8860.0,"Roper, a hostage negotiator catches a murderous bank robber after a blown heist. The bank robber escapes and immediately goes after the man who put him behind bars.",10.519481,1997-01-16,31987563.0,Metro,5.3,136.0,1997,0.5815920545454546
0.0,62000.0,A small-town doctor helps a deaf-mute farm girl learn to communicate.,5.361702,1948-09-14,0.0,Johnny Belinda,6.3,19.0,1948,0.0
2000000.0,81475.0,A teenage girl whose inaction caused her mother's death arranges a similarly gruesome fate for her stepmother and brother.,0.079137,1983-03-01,0.0,Julie Darling,8.0,2.0,1983,0.0
